Date,Symbol,Open,High,Low,Close,Volume From,Volume To,Volume
23-08-16,LTCUSD,3.95,3.95,3.87,3.95,443.86,1737.31,1293.45
24-08-16,LTCUSD,3.95,3.96,3.61,3.84,5083.21,19247.53,14164.32
25-08-16,LTCUSD,3.84,3.88,3.75,3.81,5085.64,19276.6,14190.96
26-08-16,LTCUSD,3.81,3.9,3.77,3.81,3336.89,12746.27,9409.38
27-08-16,LTCUSD,3.81,3.85,3.62,3.78,1140.72,4295.72,3155
28-08-16,LTCUSD,3.78,3.78,3.62,3.72,1904.98,7111.87,5206.89
29-08-16,LTCUSD,3.72,3.84,3.7,3.77,853.75,3258.39,2404.64
30-08-16,LTCUSD,3.77,3.85,3.74,3.81,368.34,1397.08,1028.74
31-08-16,LTCUSD,3.81,3.85,3.74,3.74,379.74,1439.1,1059.36
01-09-16,LTCUSD,3.74,3.9,3.26,3.66,3598.05,13490.56,9892.51
02-09-16,LTCUSD,3.66,4.35,3.65,3.84,2749.11,10778.59,8029.48
03-09-16,LTCUSD,3.84,3.99,3.8,3.88,1738.77,6696.08,4957.31
04-09-16,LTCUSD,3.88,4.08,3.85,4.02,1144.97,4580.38,3435.41
05-09-16,LTCUSD,4.02,4.07,3.94,3.96,450.33,1799.26,1348.93
06-09-16,LTCUSD,3.96,3.98,3.91,3.95,643.6,2540.44,1896.84
07-09-16,LTCUSD,3.95,4.03,3.91,3.96,502.14,1982.58,1480.44
08-09-16,LTCUSD,3.96,4.03,3.95,4.01,81.54,325.43,243.89
09-09-16,LTCUSD,4.01,4.02,3.94,3.96,395.91,1579.08,1183.17
10-09-16,LTCUSD,3.96,4,3.95,3.96,18.85,74.81,55.96
11-09-16,LTCUSD,3.96,4.04,3.86,3.9,1163.77,4644.94,3481.17
12-09-16,LTCUSD,3.9,3.96,3.77,3.88,838.62,3224.07,2385.45
13-09-16,LTCUSD,3.88,3.88,3.8,3.81,335.71,1282.62,946.91
14-09-16,LTCUSD,3.81,3.85,3.8,3.85,49.11,187.28,138.17
15-09-16,LTCUSD,3.85,3.95,3.81,3.81,608.84,2348.95,1740.11
16-09-16,LTCUSD,3.81,3.89,3.8,3.81,326.63,1247.18,920.55
17-09-16,LTCUSD,3.81,3.88,3.81,3.82,212.16,814.6,602.44
18-09-16,LTCUSD,3.82,3.87,3.81,3.87,1268.13,4881.58,3613.45
19-09-16,LTCUSD,3.87,3.93,3.8,3.86,441.01,1686.32,1245.31
20-09-16,LTCUSD,3.86,4,3.76,4,2595.89,10062.6,7466.71
21-09-16,LTCUSD,4,6.72,3.61,3.82,2318.93,8902.36,6583.43
22-09-16,LTCUSD,3.76,5.05,3.76,3.79,2472.29,10771.79,8299.5
